,Sample.ID,name,core,x,y,Sampled.Date,Analysed.Date,time,Upper_Depth,Lower_Depth,Moisture..air.dried.sample,X15E1.CEC.cmol..kg,X15E1.Calcium..Amm.acet...cmol..kg,X15E1.Potassium..Amm.acet...cmol..kg,X15E1.Magnesium..Amm.acet...cmol..kg,X15E1.Sodium..Amm.acet...cmol..kg,X3A1.Electrical.Conductivity.1.dS.m,X4B2.pH..1.5.CaCl2,X4A1.pH..1.5.Water,X7A5.Total.Nitrogen..Combustion..,X6B2.Total.Organic.Carbon.Combustion..
141,NSC 41 15,1_NSC41_15_20,41,148.6877746,-34.47313328,1/01/2019,9/06/2022,1,15,20,1.3,3.053,2.4,0.4,0.23,0.023,0.03,5.5,6.3,0.05,0.39
144,NSC 43 0,1_NSC43_0_5,43,148.6846028,-34.47458367,1/01/2019,9/06/2022,1,0,5,0.64,9.29,8,0.73,0.56,<0.02,0.11,7.2,7.8,0.12,1.08
147,NSC 45 5,1_NSC45_5_10,45,148.6845872,-34.47489046,1/01/2019,9/06/2022,1,5,10,0.76,7.004,5.9,0.68,0.4,0.024,0.1,6.6,7.2,0.09,0.98
150,NSC 45 10,1_NSC45_10_15,45,148.6845872,-34.47489046,1/01/2019,9/06/2022,1,10,15,1.3,4.466,3.5,0.62,0.32,0.026,0.06,5.5,6.3,0.07,0.73
153,NSC 46 10,1_NSC46_10_15,46,148.6869661,-34.47407318,1/01/2019,9/06/2022,1,10,15,0.83,3.794,3.1,0.25,0.42,0.024,0.03,5.4,6.3,<0.05,0.45
156,NSC 49 0,1_NSC49_0_5,49,148.6847412,-34.47496949,1/01/2019,9/06/2022,1,0,5,1.3,11.71,10,0.89,0.82,<0.02,0.13,7.2,7.8,0.15,1.79
159,NSC 50 5,1_NSC50_5_10,50,148.6853223,-34.47516886,1/01/2019,9/06/2022,1,5,10,0.65,9.56,8.5,0.59,0.47,<0.02,0.11,7.3,7.8,0.09,1.09
162,NSC 51 0,1_NSC51_0_5,51,148.6866646,-34.47423964,1/01/2019,9/06/2022,1,0,5,1.9,5.34,4.8,0.38,0.16,<0.02,0.09,6.7,7.3,0.06,0.69
165,NSC 52 5,1_NSC52_5_10,52,148.6877886,-34.47382738,1/01/2019,9/06/2022,1,5,10,0.44,6.84,6.1,0.45,0.29,<0.02,0.1,7.2,7.7,0.09,0.87
168,NSC 53 5,1_NSC53_5_10,53,148.6856926,-34.47463176,1/01/2019,9/06/2022,1,5,10,0.5,5.43,4.8,0.39,0.24,<0.02,0.07,6.5,7.1,0.06,0.63
