name,core,location_x,location_y,sampling,Upper_Depth,Lower_Depth,EC_dSm,pH_CaCl2,pH_water,TN,TC,MC,CEC_NH4Ac_cmol.kg,Ca_NH4Ac_cmol.kg,K_NH4Ac_cmol.kg,Mg_NH4Ac_cmol.kg,Na_NH4Ac_cmol.kg,,
2_NSC25_5_10,25,148.6863453,-34.4735227,2023,5,10,0.02,5.7,7.9,0.0860,1.192,,,,,,,,
2_NSC26_5_10,26,148.6865893,-34.47320375,2023,5,10,0.01,5.3,6.4,0.0555,0.792,,,,,,,,
2_NSC27_0_5,27,148.6861251,-34.47339951,2023,0,5,0.01,5,6.2,0.0849,1.154,,,,,,,,
2_NSC28_5_10,28,148.6838536,-34.47468417,2023,5,10,0.01,5.6,6.5,0.0597,0.772,,,,,,,,
2_NSC30_0_5,30,148.6840903,-34.47454565,2023,0,5,0.01,5.2,6.7,0.0682,0.907,,,,,,,,
2_NSC33_0_5,33,148.6881122,-34.47313763,2023,0,5,0.02,5.5,6.8,0.1070,1.443,,,,,,,,
2_NSC33_5_10,33,148.6881122,-34.47313763,2023,5,10,0.02,5.7,7.1,0.0687,0.904,,,,,,,,
2_NSC35_15_20,35,148.6852149,-34.47470147,2023,15,20,0.01,5.7,7.2,0.0259,0.324,,,,,,,,
2_NSC36_0_5,36,148.6841128,-34.47512242,2023,0,5,0.01,5.5,6.8,0.0817,1.176,,,,,,,,
2_NSC36_10_15,36,148.6841128,-34.47512242,2023,10,15,0.01,5.6,7,0.0360,0.517,,,,,,,,
2_NSC37_15_20,37,148.6857524,-34.47436043,2023,15,20,0.01,5.7,7,0.0368,0.500,,,,,,,,
2_NSC38_10_15,38,148.6856568,-34.47447897,2023,10,15,0.01,5.6,6.5,0.0327,0.470,,,,,,,,
2_NSC39_0_5,39,148.6865946,-34.47400617,2023,0,5,0.01,4.1,5.1,0.0319,0.452,,,,,,,,
2_NSC39_15_20,39,148.6865946,-34.47400617,2023,15,20,0.01,4,5.1,0.0241,0.360,,,,,,,,
2_NSC40_0_5,40,148.6871256,-34.47388162,2023,0,5,0.01,5.3,6.4,0.0549,1.112,,,,,,,,
