sample_name	sample_title	bioproject_accession	organism	host	isolation_source	collection_date	geo_loc_name	lat_lon	ref_biomaterial	rel_to_oxygen	samp_collect_device	samp_mat_process	samp_size	source_material_id	description	core	upper_depth_cm	lower_depth_cm	['Electrical_Conductivity_dSm']	pH_CaCl2	pH_water	['Total_Nitrogen_Combustion_%']	Total_Organic_Carbon_Combustion_%	['moisture_content']	CEC_NH4Ac_cmol_kg	Ca_NH4Ac_cmol_kg	K_NH4Ac_cmol_kg	Mg_NH4Ac_cmol_kg	Na_NH4Ac_cmol_kg
2_NSC06_0_5			soil metagenome	environmental soil	2023 agricultural soil core 6, 0-5 cm	2023	Australia: New South Wales, Boorowa	34.47336885 S 148.6850792 E								6	0	5	0.02	5.7	6.5	0.1282	1.897	NA	NA	NA	NA	NA	NA
2_NSC07_10_15			soil metagenome	environmental soil	2023 agricultural soil core 7, 10-15 cm	2023	Australia: New South Wales, Boorowa	34.47292205 S 148.6867469 E								7	10	15	0.01	6	6.9	0.0596	0.736	NA	NA	NA	NA	NA	NA
2_NSC07_15_20			soil metagenome	environmental soil	2023 agricultural soil core 7, 15-20 cm	2023	Australia: New South Wales, Boorowa	34.47292205 S 148.6867469 E								7	15	20	0.01	6	6.9	0.0262	0.362	NA	NA	NA	NA	NA	NA
2_NSC08_0_5			soil metagenome	environmental soil	2023 agricultural soil core 8, 0-5 cm	2023	Australia: New South Wales, Boorowa	34.47276475 S 148.6863845 E								8	0	5	0.02	5.8	6.5	0.1273	1.814	NA	NA	NA	NA	NA	NA
2_NSC08_15_20			soil metagenome	environmental soil	2023 agricultural soil core 8, 15-20 cm	2023	Australia: New South Wales, Boorowa	34.47276475 S 148.6863845 E								8	15	20	0	5.9	7.1	0.0214	0.277	NA	NA	NA	NA	NA	NA
2_NSC09_5_10			soil metagenome	environmental soil	2023 agricultural soil core 9, 5-10 cm	2023	Australia: New South Wales, Boorowa	34.47262578 S 148.6873071 E								9	5	10	0.01	5.9	6.8	0.0724	0.851	NA	NA	NA	NA	NA	NA
2_NSC10_1_15			soil metagenome	environmental soil	2023 agricultural soil core 10, 1-15 cm	2023	Australia: New South Wales, Boorowa	34.47328141 S 148.6848815 E								10	10	15	0.02	5.9	6.6	0.0574	0.749	NA	NA	NA	NA	NA	NA
2_NSC15_10_15			soil metagenome	environmental soil	2023 agricultural soil core 15, 10-15 cm	2023	Australia: New South Wales, Boorowa	34.4730831 S 148.6855308 E								15	10	15	0.01	6	7	0.0338	0.472	NA	NA	NA	NA	NA	NA
2_NSC16_0_5			soil metagenome	environmental soil	2023 agricultural soil core 16, 0-5 cm	2023	Australia: New South Wales, Boorowa	34.47378412 S 148.6856973 E								16	0	5	0.03	5.9	6.8	0.096	2.39	NA	NA	NA	NA	NA	NA
2_NSC17_0_5			soil metagenome	environmental soil	2023 agricultural soil core 17, 0-5 cm	2023	Australia: New South Wales, Boorowa	34.47290898 S 148.6876939 E								17	0	5	0.03	5.7	6.6	0.0888	1.364	NA	NA	NA	NA	NA	NA
2_NSC17_10_15			soil metagenome	environmental soil	2023 agricultural soil core 17, 10-15 cm	2023	Australia: New South Wales, Boorowa	34.47290898 S 148.6876939 E								17	10	15	0.02	5.7	6.6	0.0998	1.477	NA	NA	NA	NA	NA	NA
2_NSC17_5_10			soil metagenome	environmental soil	2023 agricultural soil core 17, 5-10 cm	2023	Australia: New South Wales, Boorowa	34.47290898 S 148.6876939 E								17	5	10	0.01	5.6	6.7	0.0506	0.678	NA	NA	NA	NA	NA	NA
2_NSC18_15_20			soil metagenome	environmental soil	2023 agricultural soil core 18, 15-20 cm	2023	Australia: New South Wales, Boorowa	34.47364124 S 148.6855964 E								18	15	20	0.01	5.6	6.7	0.0245	0.309	NA	NA	NA	NA	NA	NA
2_NSC20_15_20			soil metagenome	environmental soil	2023 agricultural soil core 20, 15-20 cm	2023	Australia: New South Wales, Boorowa	34.4743212 S 148.6840205 E								20	15	20	0.01	5.6	6.6	0.0188	0.249	NA	NA	NA	NA	NA	NA
2_NSC21_10_15			soil metagenome	environmental soil	2023 agricultural soil core 21, 10-15 cm	2023	Australia: New South Wales, Boorowa	34.47327511 S 148.6872984 E								21	10	15	0.01	5.6	6.6	0.058	0.794	NA	NA	NA	NA	NA	NA
2_NSC21_15_20			soil metagenome	environmental soil	2023 agricultural soil core 21, 15-20 cm	2023	Australia: New South Wales, Boorowa	34.47327511 S 148.6872984 E								21	15	20	0.01	5.5	6.6	0.0628	0.79	NA	NA	NA	NA	NA	NA
2_NSC21_5_10			soil metagenome	environmental soil	2023 agricultural soil core 21, 5-10 cm	2023	Australia: New South Wales, Boorowa	34.47327511 S 148.6872984 E								21	5	10	0	5.6	6.6	0.0189	0.205	NA	NA	NA	NA	NA	NA
2_NSC22_0_5			soil metagenome	environmental soil	2023 agricultural soil core 22, 0-5 cm	2023	Australia: New South Wales, Boorowa	34.47373589 S 148.6852717 E								22	0	5	0.02	5.3	6.4	0.084	1.127	NA	NA	NA	NA	NA	NA
2_NSC23_5_10			soil metagenome	environmental soil	2023 agricultural soil core 23, 5-10 cm	2023	Australia: New South Wales, Boorowa	34.47404898 S 148.6847989 E								23	5	10	0.02	6	6.5	0.0714	0.931	NA	NA	NA	NA	NA	NA
2_NSC24_0_5			soil metagenome	environmental soil	2023 agricultural soil core 24, 0-5 cm	2023	Australia: New South Wales, Boorowa	34.47392699 S 148.6857982 E								24	0	5	0.01	5.1	6.4	0.0956	1.403	NA	NA	NA	NA	NA	NA
2_NSC24_5_10			soil metagenome	environmental soil	2023 agricultural soil core 24, 5-10 cm	2023	Australia: New South Wales, Boorowa	34.47392699 S 148.6857982 E								24	5	10	0.01	4.9	6.6	0.0427	0.743	NA	NA	NA	NA	NA	NA
2_NSC25_5_10			soil metagenome	environmental soil	2023 agricultural soil core 25, 5-10 cm	2023	Australia: New South Wales, Boorowa	34.4735227 S 148.6863453 E								25	5	10	0.02	5.7	7.9	0.086	1.192	NA	NA	NA	NA	NA	NA
2_NSC26_5_10			soil metagenome	environmental soil	2023 agricultural soil core 26, 5-10 cm	2023	Australia: New South Wales, Boorowa	34.47320375 S 148.6865893 E								26	5	10	0.01	5.3	6.4	0.0555	0.792	NA	NA	NA	NA	NA	NA
2_NSC27_0_5			soil metagenome	environmental soil	2023 agricultural soil core 27, 0-5 cm	2023	Australia: New South Wales, Boorowa	34.47339951 S 148.6861251 E								27	0	5	0.01	5	6.2	0.0849	1.154	NA	NA	NA	NA	NA	NA
2_NSC28_5_10			soil metagenome	environmental soil	2023 agricultural soil core 28, 5-10 cm	2023	Australia: New South Wales, Boorowa	34.47468417 S 148.6838536 E								28	5	10	0.01	5.6	6.5	0.0597	0.772	NA	NA	NA	NA	NA	NA
2_NSC30_0_5			soil metagenome	environmental soil	2023 agricultural soil core 30, 0-5 cm	2023	Australia: New South Wales, Boorowa	34.47454565 S 148.6840903 E								30	0	5	0.01	5.2	6.7	0.0682	0.907	NA	NA	NA	NA	NA	NA
2_NSC33_0_5			soil metagenome	environmental soil	2023 agricultural soil core 33, 0-5 cm	2023	Australia: New South Wales, Boorowa	34.47313763 S 148.6881122 E								33	0	5	0.02	5.5	6.8	0.107	1.443	NA	NA	NA	NA	NA	NA
2_NSC33_5_10			soil metagenome	environmental soil	2023 agricultural soil core 33, 5-10 cm	2023	Australia: New South Wales, Boorowa	34.47313763 S 148.6881122 E								33	5	10	0.02	5.7	7.1	0.0687	0.904	NA	NA	NA	NA	NA	NA
2_NSC35_15_20			soil metagenome	environmental soil	2023 agricultural soil core 35, 15-20 cm	2023	Australia: New South Wales, Boorowa	34.47470147 S 148.6852149 E								35	15	20	0.01	5.7	7.2	0.0259	0.324	NA	NA	NA	NA	NA	NA
2_NSC36_0_5			soil metagenome	environmental soil	2023 agricultural soil core 36, 0-5 cm	2023	Australia: New South Wales, Boorowa	34.47512242 S 148.6841128 E								36	0	5	0.01	5.5	6.8	0.0817	1.176	NA	NA	NA	NA	NA	NA
2_NSC36_10_15			soil metagenome	environmental soil	2023 agricultural soil core 36, 10-15 cm	2023	Australia: New South Wales, Boorowa	34.47512242 S 148.6841128 E								36	10	15	0.01	5.6	7	0.036	0.517	NA	NA	NA	NA	NA	NA
2_NSC37_15_20			soil metagenome	environmental soil	2023 agricultural soil core 37, 15-20 cm	2023	Australia: New South Wales, Boorowa	34.47436043 S 148.6857524 E								37	15	20	0.01	5.7	7	0.0368	0.5	NA	NA	NA	NA	NA	NA
2_NSC38_10_15			soil metagenome	environmental soil	2023 agricultural soil core 38, 10-15 cm	2023	Australia: New South Wales, Boorowa	34.47447897 S 148.6856568 E								38	10	15	0.01	5.6	6.5	0.0327	0.47	NA	NA	NA	NA	NA	NA
2_NSC39_0_5			soil metagenome	environmental soil	2023 agricultural soil core 39, 0-5 cm	2023	Australia: New South Wales, Boorowa	34.47400617 S 148.6865946 E								39	0	5	0.01	4.1	5.1	0.0319	0.452	NA	NA	NA	NA	NA	NA
2_NSC39_15_20			soil metagenome	environmental soil	2023 agricultural soil core 39, 15-20 cm	2023	Australia: New South Wales, Boorowa	34.47400617 S 148.6865946 E								39	15	20	0.01	4	5.1	0.0241	0.36	NA	NA	NA	NA	NA	NA
2_NSC40_0_5			soil metagenome	environmental soil	2023 agricultural soil core 40, 0-5 cm	2023	Australia: New South Wales, Boorowa	34.47388162 S 148.6871256 E								40	0	5	0.01	5.3	6.4	0.0549	1.112	NA	NA	NA	NA	NA	NA
2_NSC40_10_15			soil metagenome	environmental soil	2023 agricultural soil core 40, 10-15 cm	2023	Australia: New South Wales, Boorowa	34.47388162 S 148.6871256 E								40	10	15	0.01	6.2	6.9	0.0599	0.898	NA	NA	NA	NA	NA	NA
2_NSC40_15_20			soil metagenome	environmental soil	2023 agricultural soil core 40, 15-20 cm	2023	Australia: New South Wales, Boorowa	34.47388162 S 148.6871256 E								40	15	20	0.01	4.6	5.5	0.0505	0.573	NA	NA	NA	NA	NA	NA
2_NSC41_0_5			soil metagenome	environmental soil	2023 agricultural soil core 41, 0-5 cm	2023	Australia: New South Wales, Boorowa	34.47313328 S 148.6877746 E								41	0	5	0.03	6	6.8	0.0513	0.641	NA	NA	NA	NA	NA	NA
2_NSC41_15_20			soil metagenome	environmental soil	2023 agricultural soil core 41, 15-20 cm	2023	Australia: New South Wales, Boorowa	34.47313328 S 148.6877746 E								41	15	20	0.01	5.5	6.7	0.0252	0.329	NA	NA	NA	NA	NA	NA
2_NSC43_0_5			soil metagenome	environmental soil	2023 agricultural soil core 43, 0-5 cm	2023	Australia: New South Wales, Boorowa	34.47458367 S 148.6846028 E								43	0	5	0.02	5.9	6.9	0.0923	1.112	NA	NA	NA	NA	NA	NA
2_NSC44_0_5			soil metagenome	environmental soil	2023 agricultural soil core 44, 0-5 cm	2023	Australia: New South Wales, Boorowa	34.47488338 S 148.6837923 E								44	0	5	0.01	5.4	6.7	0.0743	1.186	NA	NA	NA	NA	NA	NA
2_NSC45_10_15			soil metagenome	environmental soil	2023 agricultural soil core 45, 10-15 cm	2023	Australia: New South Wales, Boorowa	34.47489046 S 148.6845872 E								45	10	15	0.02	5.9	6.8	0.0571	0.795	NA	NA	NA	NA	NA	NA
2_NSC45_5_10			soil metagenome	environmental soil	2023 agricultural soil core 45, 5-10 cm	2023	Australia: New South Wales, Boorowa	34.47489046 S 148.6845872 E								45	5	10	0.02	5.7	6.7	0.0645	1.037	NA	NA	NA	NA	NA	NA
2_NSC46_10_15			soil metagenome	environmental soil	2023 agricultural soil core 46, 10-15 cm	2023	Australia: New South Wales, Boorowa	34.47407318 S 148.6869661 E								46	10	15	0.02	5.8	6.9	0.0522	0.653	NA	NA	NA	NA	NA	NA
2_NSC49_0_5			soil metagenome	environmental soil	2023 agricultural soil core 49, 0-5 cm	2023	Australia: New South Wales, Boorowa	34.47496949 S 148.6847412 E								49	0	5	0.02	5.9	6.9	0.1101	1.598	NA	NA	NA	NA	NA	NA
2_NSC50_5_10			soil metagenome	environmental soil	2023 agricultural soil core 50, 5-10 cm	2023	Australia: New South Wales, Boorowa	34.47516886 S 148.6853223 E								50	5	10	0.02	5.9	7	0.0618	0.941	NA	NA	NA	NA	NA	NA
2_NSC51_0_5			soil metagenome	environmental soil	2023 agricultural soil core 51, 0-5 cm	2023	Australia: New South Wales, Boorowa	34.47423964 S 148.6866646 E								51	0	5	0.02	6.1	6.9	0.0515	0.766	NA	NA	NA	NA	NA	NA
2_NSC52_15_20			soil metagenome	environmental soil	2023 agricultural soil core 52, 15-20 cm	2023	Australia: New South Wales, Boorowa	34.47382738 S 148.6877886 E								52	15	20	0.01	6.2	7.4	0.0084	0.162	NA	NA	NA	NA	NA	NA
2_NSC52_5_10			soil metagenome	environmental soil	2023 agricultural soil core 52, 5-10 cm	2023	Australia: New South Wales, Boorowa	34.47382738 S 148.6877886 E								52	5	10	0.02	6.1	7.2	0.051	0.721	NA	NA	NA	NA	NA	NA
2_NSC53_5_10			soil metagenome	environmental soil	2023 agricultural soil core 53, 5-10 cm	2023	Australia: New South Wales, Boorowa	34.47463176 S 148.6856926 E								53	5	10	0.01	6.2	7.3	0.0479	0.666	NA	NA	NA	NA	NA	NA
2_NSC58_10_15			soil metagenome	environmental soil	2023 agricultural soil core 58, 10-15 cm	2023	Australia: New South Wales, Boorowa	34.47553528 S 148.6842518 E								58	10	15	0.01	5.4	6.9	0.0191	0.316	NA	NA	NA	NA	NA	NA
2_NSC59_10_15			soil metagenome	environmental soil	2023 agricultural soil core 59, 10-15 cm	2023	Australia: New South Wales, Boorowa	34.47442233 S 148.6864941 E								59	10	15	0.02	5.8	7.1	0.0354	0.462	NA	NA	NA	NA	NA	NA
2_NSC59_5_10			soil metagenome	environmental soil	2023 agricultural soil core 59, 5-10 cm	2023	Australia: New South Wales, Boorowa	34.47442233 S 148.6864941 E								59	5	10	0.01	5.6	6.8	0.0535	0.768	NA	NA	NA	NA	NA	NA
