sample_name	sample_title	bioproject_accession	organism	host	isolation_source	collection_date	geo_loc_name	lat_lon	ref_biomaterial	rel_to_oxygen	samp_collect_device	samp_mat_process	samp_size	source_material_id	description	core	upper_depth_cm	lower_depth_cm	['Electrical_Conductivity_dSm']	pH_CaCl2	pH_water	['Total_Nitrogen_Combustion_%']	Total_Organic_Carbon_Combustion_%	['moisture_content']	CEC_NH4Ac_cmol_kg	Ca_NH4Ac_cmol_kg	K_NH4Ac_cmol_kg	Mg_NH4Ac_cmol_kg	Na_NH4Ac_cmol_kg
1_NSC11_25_30			soil metagenome	environmental soil	2019 agricultural soil core 11, 25_30 cm	2019	Australia: New South Wales, Boorowa	34.47417125 S 148.6837779 E								11	25	30	0.02	4.8	5.8	<0.05	0.4	0.67	2.86	2	0.26	0.6	<0.02
1_NSC11_30_35			soil metagenome	environmental soil	2019 agricultural soil core 11, 30_35 cm	2019	Australia: New South Wales, Boorowa	34.47417125 S 148.6837779 E								11	30	35	0.02	5.2	6.2	<0.05	0.25	0.72	4.02	2.7	0.34	0.98	<0.02
1_NSC11_45_50			soil metagenome	environmental soil	2019 agricultural soil core 11, 45_50 cm	2019	Australia: New South Wales, Boorowa	34.47417125 S 148.6837779 E								11	45	50	0.02	5.9	6.8	<0.05	0.18	1.1	5.834	3.7	0.41	1.7	0.024
1_NSC12_15_20			soil metagenome	environmental soil	2019 agricultural soil core 12, 15_20 cm	2019	Australia: New South Wales, Boorowa	34.47353831 S 148.68456 E								12	15	20	0.03	5.5	6.4	0.05	0.51	0.56	3.68	3	0.31	0.37	<0.02
1_NSC12_0_5			soil metagenome	environmental soil	2019 agricultural soil core 12, 0_5 cm	2019	Australia: New South Wales, Boorowa	34.47353831 S 148.68456 E								12	0	5	0.07	6.8	7.5	0.09	0.95	0.7	6.35	5.4	0.55	0.4	<0.02
1_NSC12_35_40			soil metagenome	environmental soil	2019 agricultural soil core 12, 35_40 cm	2019	Australia: New South Wales, Boorowa	34.47353831 S 148.68456 E								12	35	40	0.02	5.7	6.8	<0.05	0.19	1	3.18	2.2	0.26	0.72	<0.02
1_NSC12_40_45			soil metagenome	environmental soil	2019 agricultural soil core 12, 40_45 cm	2019	Australia: New South Wales, Boorowa	34.47353831 S 148.68456 E								12	40	45	0.02	5.8	6.9	<0.05	0.23	0.72	4.136	2.7	0.3	1.1	0.036
1_NSC13_25_30			soil metagenome	environmental soil	2019 agricultural soil core 13, 25_30 cm	2019	Australia: New South Wales, Boorowa	34.47317851 S 148.6858049 E								13	25	30	0.02	6.1	7.1	<0.05	0.16	0.58	2.987	1.9	0.15	0.86	0.077
1_NSC13_30_35			soil metagenome	environmental soil	2019 agricultural soil core 13, 30_35 cm	2019	Australia: New South Wales, Boorowa	34.47317851 S 148.6858049 E								13	30	35	0.02	6.2	7.3	<0.05	0.15	0.63	2.783	1.7	0.15	0.86	0.073
1_NSC13_35_40			soil metagenome	environmental soil	2019 agricultural soil core 13, 35_40 cm	2019	Australia: New South Wales, Boorowa	34.47317851 S 148.6858049 E								13	35	40	0.02	6.1	7.3	<0.05	0.16	0.62	3.568	2.1	0.18	1.2	0.088
1_NSC14_15_20			soil metagenome	environmental soil	2019 agricultural soil core 14, 15_20 cm	2019	Australia: New South Wales, Boorowa	34.47340852 S 148.685472 E								14	15	20	0.03	5.2	6.4	<0.05	0.3	0.93	2.83	2	0.22	0.52	0.09
1_NSC14_0_5			soil metagenome	environmental soil	2019 agricultural soil core 14, 0_5 cm	2019	Australia: New South Wales, Boorowa	34.47340852 S 148.685472 E								14	0	5	0.09	6.7	7.4	0.12	1.2	0.94	6.961	5.7	0.5	0.7	0.061
1_NSC14_35_40			soil metagenome	environmental soil	2019 agricultural soil core 14, 35_40 cm	2019	Australia: New South Wales, Boorowa	34.47340852 S 148.685472 E								14	35	40	0.03	5.8	7.5	<0.05	0.15	3.3	6.2	2.6	0.16	2.7	0.74
1_NSC14_40_45			soil metagenome	environmental soil	2019 agricultural soil core 14, 40_45 cm	2019	Australia: New South Wales, Boorowa	34.47340852 S 148.685472 E								14	40	45	0.04	6.2	7.6	<0.05	0.19	7.7	12.74	4.9	0.24	6	1.6
1_NSC15_10_15			soil metagenome	environmental soil	2019 agricultural soil core 15, 10_15 cm	2019	Australia: New South Wales, Boorowa	34.4730831 S 148.6855308 E								15	10	15	0.06	5.2	6	0.11	1.06	0.62	4.537	3.8	0.2	0.49	0.047
1_NSC15_25_30			soil metagenome	environmental soil	2019 agricultural soil core 15, 25_30 cm	2019	Australia: New South Wales, Boorowa	34.4730831 S 148.6855308 E								15	25	30	0.02	5.9	7	<0.05	0.29	0.87	2.635	1.9	0.16	0.5	0.075
1_NSC15_35_40			soil metagenome	environmental soil	2019 agricultural soil core 15, 35_40 cm	2019	Australia: New South Wales, Boorowa	34.4730831 S 148.6855308 E								15	35	40	0.02	6.2	7.4	<0.05	0.25	1.7	3.967	2.7	0.17	1	0.097
1_NSC15_40_45			soil metagenome	environmental soil	2019 agricultural soil core 15, 40_45 cm	2019	Australia: New South Wales, Boorowa	34.4730831 S 148.6855308 E								15	40	45	0.03	6.3	7.4	<0.05	0.34	1.2	8.84	5.8	0.27	2.6	0.17
1_NSC16_0_5			soil metagenome	environmental soil	2019 agricultural soil core 16, 0_5 cm	2019	Australia: New South Wales, Boorowa	34.47378412 S 148.6856973 E								16	0	5	0.09	7	7.6	0.16	1.95	1.1	10.67	9	0.96	0.71	<0.02
1_NSC16_35_40			soil metagenome	environmental soil	2019 agricultural soil core 16, 35_40 cm	2019	Australia: New South Wales, Boorowa	34.47378412 S 148.6856973 E								16	35	40	0.05	7	7.8	<0.05	0.6	0.64	5.802	4.1	0.51	1.1	0.092
1_NSC16_40_45			soil metagenome	environmental soil	2019 agricultural soil core 16, 40_45 cm	2019	Australia: New South Wales, Boorowa	34.47378412 S 148.6856973 E								16	40	45	0.18	7.2	7.7	0.05	0.39	2.7	6.18	3.8	0.82	1.4	0.16
1_NSC17_0_5			soil metagenome	environmental soil	2019 agricultural soil core 17, 0_5 cm	2019	Australia: New South Wales, Boorowa	34.47290898 S 148.6876939 E								17	0	5	0.1	5.5	6.1	0.16	1.24	0.77	5.752	4.6	0.53	0.6	0.022
1_NSC17_10_15			soil metagenome	environmental soil	2019 agricultural soil core 17, 10_15 cm	2019	Australia: New South Wales, Boorowa	34.47290898 S 148.6876939 E								17	10	15	0.03	5.1	6	0.06	0.48	0.54	2.54	2	0.31	0.23	<0.02
1_NSC17_15_20			soil metagenome	environmental soil	2019 agricultural soil core 17, 15_20 cm	2019	Australia: New South Wales, Boorowa	34.47290898 S 148.6876939 E								17	15	20	0.03	4.8	5.8	<0.05	0.27	0.48	1.69	1.2	0.29	0.2	<0.02
1_NSC18_15_20			soil metagenome	environmental soil	2019 agricultural soil core 18, 15_20 cm	2019	Australia: New South Wales, Boorowa	34.47364124 S 148.6855964 E								18	15	20	0.05	5.4	6.5	<0.05	0.39	0.59	3.33	2	0.25	0.76	0.32
1_NSC18_20_25			soil metagenome	environmental soil	2019 agricultural soil core 18, 20_25 cm	2019	Australia: New South Wales, Boorowa	34.473641 S 148.685596 E								18	20	25	0.04	5.7	7	<0.05	0.24	0.9	3.12	1.8	0.25	0.77	0.3
1_NSC18_25_30			soil metagenome	environmental soil	2019 agricultural soil core 18, 25_30 cm	2019	Australia: New South Wales, Boorowa	34.473641 S 148.685596 E								18	25	30	0.04	6.2	7.3	<0.05	0.17	0.52	2.8	1.6	0.2	0.72	0.28
1_NSC18_40_45			soil metagenome	environmental soil	2019 agricultural soil core 18, 40_45 cm	2019	Australia: New South Wales, Boorowa	34.473641 S 148.685596 E								18	40	45	0.05	6.2	7.3	<0.05	0.15	0.94	6.54	3	0.28	2.8	0.46
1_NSC19_20_25			soil metagenome	environmental soil	2019 agricultural soil core 19, 20_25 cm	2019	Australia: New South Wales, Boorowa	34.47333956 S 148.6865485 E								19	20	25	0.02	4.5	5.5	<0.05	0.2	0.5	1.53	1	0.31	0.22	<0.02
1_NSC19_40_45			soil metagenome	environmental soil	2019 agricultural soil core 19, 40_45 cm	2019	Australia: New South Wales, Boorowa	34.47333956 S 148.6865485 E								19	40	45	0.03	5.2	6.1	<0.05	0.19	2.9	4.24	2.8	0.56	0.88	<0.02
1_NSC19_45_50			soil metagenome	environmental soil	2019 agricultural soil core 19, 45_50 cm	2019	Australia: New South Wales, Boorowa	34.47333956 S 148.6865485 E								19	45	50	0.03	5.4	6.2	<0.05	0.2	1.1	4.57	3	0.57	1	<0.02
1_NSC20_15_20			soil metagenome	environmental soil	2019 agricultural soil core 20, 15_20 cm	2019	Australia: New South Wales, Boorowa	34.4743212 S 148.6840205 E								20	15	20	0.02	4.8	5.7	<0.05	0.23	0.82	2.45	1.8	0.29	0.36	<0.02
1_NSC20_25_30			soil metagenome	environmental soil	2019 agricultural soil core 20, 25_30 cm	2019	Australia: New South Wales, Boorowa	34.4743212 S 148.6840205 E								20	25	30	0.02	5.4	6.4	<0.05	0.22	1.9	3.48	2.3	0.37	0.81	<0.02
1_NSC20_35_40			soil metagenome	environmental soil	2019 agricultural soil core 20, 35_40 cm	2019	Australia: New South Wales, Boorowa	34.4743212 S 148.6840205 E								20	35	40	0.02	6	7	<0.05	0.18	2.1	5.72	3.5	0.62	1.6	<0.02
1_NSC21_5_10			soil metagenome	environmental soil	2019 agricultural soil core 21, 5_10 cm	2019	Australia: New South Wales, Boorowa	34.47327511 S 148.6872984 E								21	5	10	0.07	5.5	6.2	0.06	0.6	0.45	3.21	2.6	0.3	0.31	<0.02
1_NSC21_10_15			soil metagenome	environmental soil	2019 agricultural soil core 21, 10_15 cm	2019	Australia: New South Wales, Boorowa	34.47327511 S 148.6872984 E								21	10	15	0.05	6.3	7	0.05	0.42	0.41	3.605	3	0.26	0.31	0.035
1_NSC21_15_20			soil metagenome	environmental soil	2019 agricultural soil core 21, 15_20 cm	2019	Australia: New South Wales, Boorowa	34.47327511 S 148.6872984 E								21	15	20	0.03	5.5	6.4	<0.05	0.21	0.4	2.267	1.7	0.22	0.31	0.037
1_NSC21_20_25			soil metagenome	environmental soil	2019 agricultural soil core 21, 20_25 cm	2019	Australia: New South Wales, Boorowa	34.47327511 S 148.6872984 E								21	20	25	0.03	5.3	6.4	<0.05	0.22	0.38	1.83	1.3	0.2	0.29	0.04
1_NSC21_35_40			soil metagenome	environmental soil	2019 agricultural soil core 21, 35_40 cm	2019	Australia: New South Wales, Boorowa	34.47327511 S 148.6872984 E								21	35	40	0.03	5.9	7.1	<0.05	0.2	0.75	5.68	3	0.29	2.1	0.29
1_NSC22_0_5			soil metagenome	environmental soil	2019 agricultural soil core 22, 0_5 cm	2019	Australia: New South Wales, Boorowa	34.47373589 S 148.6852717 E								22	0	5	0.11	7	7.6	0.1	0.98	0.64	7.029	5.9	0.49	0.58	0.059
1_NSC22_25_30			soil metagenome	environmental soil	2019 agricultural soil core 22, 25_30 cm	2019	Australia: New South Wales, Boorowa	34.47373589 S 148.6852717 E								22	25	30	0.03	5.6	6.7	<0.05	0.28	0.83	4.82	2.7	0.33	1.6	0.19
1_NSC22_30_35			soil metagenome	environmental soil	2019 agricultural soil core 22, 30_35 cm	2019	Australia: New South Wales, Boorowa	34.47373589 S 148.6852717 E								22	30	35	0.04	6.1	7.3	<0.05	0.34	1.3	7.85	3.6	0.46	3.3	0.49
1_NSC22_45_50			soil metagenome	environmental soil	2019 agricultural soil core 22, 45_50 cm	2019	Australia: New South Wales, Boorowa	34.47373589 S 148.6852717 E								22	45	50	0.09	7.3	8.6	0.07	0.41	2.8	23.32	8	0.82	12	2.5
1_NSC23_5_10			soil metagenome	environmental soil	2019 agricultural soil core 23, 5_10 cm	2019	Australia: New South Wales, Boorowa	34.47404898 S 148.6847989 E								23	5	10	0.02	5.6	6.5	0.07	0.65	0.84	6	4.3	0.5	1.2	<0.02
1_NSC23_40_45			soil metagenome	environmental soil	2019 agricultural soil core 23, 40_45 cm	2019	Australia: New South Wales, Boorowa	34.47404898 S 148.6847989 E								23	40	45	0.04	6.2	7	0.06	0.65	0.86	6.172	4.4	0.44	1.3	0.032
1_NSC23_45_50			soil metagenome	environmental soil	2019 agricultural soil core 23, 45_50 cm	2019	Australia: New South Wales, Boorowa	34.47404898 S 148.6847989 E								23	45	50	0.06	6.5	7.2	0.07	0.64	0.93	6.725	4.8	0.49	1.4	0.035
1_NSC24_0_5			soil metagenome	environmental soil	2019 agricultural soil core 24, 0_5 cm	2019	Australia: New South Wales, Boorowa	34.47392699 S 148.6857982 E								24	0	5	0.1	5.7	6.4	0.12	1.14	0.62	5.574	4.5	0.57	0.47	0.034
1_NSC24_5_10			soil metagenome	environmental soil	2019 agricultural soil core 24, 5_10 cm	2019	Australia: New South Wales, Boorowa	34.47392699 S 148.6857982 E								24	5	10	0.09	5.6	6.2	0.16	1.31	0.67	5.563	4.7	0.4	0.44	0.023
1_NSC24_30_35			soil metagenome	environmental soil	2019 agricultural soil core 24, 30_35 cm	2019	Australia: New South Wales, Boorowa	34.47392699 S 148.6857982 E								24	30	35	0.03	6.6	7.8	<0.05	0.32	2.1	4.68	2.5	0.48	1.5	0.2
1_NSC25_5_10			soil metagenome	environmental soil	2019 agricultural soil core 25, 5_10 cm	2019	Australia: New South Wales, Boorowa	34.4735227 S 148.6863453 E								25	5	10	0.1	6.8	7.2	0.1	0.99	0.62	7.67	7.1	0.27	0.3	<0.02
1_NSC25_20_25			soil metagenome	environmental soil	2019 agricultural soil core 25, 20_25 cm	2019	Australia: New South Wales, Boorowa	34.4735227 S 148.6863453 E								25	20	25	0.01	4.6	5.5	0.05	0.4	0.56	2.464	1.8	0.28	0.36	0.024
