sample_name	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	fasta_file	assembly	filename	filename2	filename3	filename4	filename5	filename6	filename7	filename8
1_NSC23_5_10	CSIRO2019_1_NSC23_5_10	ONT long-read metagenome sequencing of soil metagenome: Boorowa NSW NSC23 core  5-10 cm (2019)	WGS	METAGENOMIC	RANDOM	single	OXFORD_NANOPORE	MinION	Shotgun metagenomic DNA library from agricultural soil cores. DNA extracted with DNeasy PowerSoil kit, prepared with ONT ligation sequencing and barcoding, sequenced on ONT MinION using R10 flow cells. Reads were basecalled with Dorado v1.3.0 in super-accurate (sup) mode.	fastq			CSIRO2019_1_NSC23_5_10_q15_len300_sup.fastq.gz							
1_NSC24_5_10	CSIRO2019_1_NSC24_5_10	ONT long-read metagenome sequencing of soil metagenome: Boorowa NSW NSC24 core  5-10 cm (2019)	WGS	METAGENOMIC	RANDOM	single	OXFORD_NANOPORE	MinION	Shotgun metagenomic DNA library from agricultural soil cores. DNA extracted with DNeasy PowerSoil kit, prepared with ONT ligation sequencing and barcoding, sequenced on ONT MinION using R10 flow cells. Reads were basecalled with Dorado v1.3.0 in super-accurate (sup) mode.	fastq			CSIRO2019_1_NSC24_5_10_q15_len300_sup.fastq.gz							
1_NSC25_5_10	CSIRO2019_1_NSC25_5_10	ONT long-read metagenome sequencing of soil metagenome: Boorowa NSW NSC25 core  5-10 cm (2019)	WGS	METAGENOMIC	RANDOM	single	OXFORD_NANOPORE	MinION	Shotgun metagenomic DNA library from agricultural soil cores. DNA extracted with DNeasy PowerSoil kit, prepared with ONT ligation sequencing and barcoding, sequenced on ONT MinION using R10 flow cells. Reads were basecalled with Dorado v1.3.0 in super-accurate (sup) mode.	fastq			CSIRO2019_1_NSC25_5_10_q15_len300_sup.fastq.gz							
1_NSC26_5_10	CSIRO2019_1_NSC26_5_10	ONT long-read metagenome sequencing of soil metagenome: Boorowa NSW NSC26 core  5-10 cm (2019)	WGS	METAGENOMIC	RANDOM	single	OXFORD_NANOPORE	MinION	Shotgun metagenomic DNA library from agricultural soil cores. DNA extracted with DNeasy PowerSoil kit, prepared with ONT ligation sequencing and barcoding, sequenced on ONT MinION using R10 flow cells. Reads were basecalled with Dorado v1.3.0 in super-accurate (sup) mode.	fastq			CSIRO2019_1_NSC26_5_10_q15_len300_sup.fastq.gz							
1_NSC28_5_10	CSIRO2019_1_NSC28_5_10	ONT long-read metagenome sequencing of soil metagenome: Boorowa NSW NSC28 core  5-10 cm (2019)	WGS	METAGENOMIC	RANDOM	single	OXFORD_NANOPORE	MinION	Shotgun metagenomic DNA library from agricultural soil cores. DNA extracted with DNeasy PowerSoil kit, prepared with ONT ligation sequencing and barcoding, sequenced on ONT MinION using R10 flow cells. Reads were basecalled with Dorado v1.3.0 in super-accurate (sup) mode.	fastq			CSIRO2019_1_NSC28_5_10_q15_len300_sup.fastq.gz							
1_NSC29_5_10	CSIRO2019_1_NSC29_5_10	ONT long-read metagenome sequencing of soil metagenome: Boorowa NSW NSC29 core  5-10 cm (2019)	WGS	METAGENOMIC	RANDOM	single	OXFORD_NANOPORE	MinION	Shotgun metagenomic DNA library from agricultural soil cores. DNA extracted with DNeasy PowerSoil kit, prepared with ONT ligation sequencing and barcoding, sequenced on ONT MinION using R10 flow cells. Reads were basecalled with Dorado v1.3.0 in super-accurate (sup) mode.	fastq			CSIRO2019_1_NSC29_5_10_q15_len300_sup.fastq.gz							
1_NSC33_5_10	CSIRO2019_1_NSC33_5_10	ONT long-read metagenome sequencing of soil metagenome: Boorowa NSW NSC33 core  5-10 cm (2019)	WGS	METAGENOMIC	RANDOM	single	OXFORD_NANOPORE	MinION	Shotgun metagenomic DNA library from agricultural soil cores. DNA extracted with DNeasy PowerSoil kit, prepared with ONT ligation sequencing and barcoding, sequenced on ONT MinION using R10 flow cells. Reads were basecalled with Dorado v1.3.0 in super-accurate (sup) mode.	fastq			CSIRO2019_1_NSC33_5_10_q15_len300_sup.fastq.gz							
1_NSC45_5_10	CSIRO2019_1_NSC45_5_10	ONT long-read metagenome sequencing of soil metagenome: Boorowa NSW NSC45 core  5-10 cm (2019)	WGS	METAGENOMIC	RANDOM	single	OXFORD_NANOPORE	MinION	Shotgun metagenomic DNA library from agricultural soil cores. DNA extracted with DNeasy PowerSoil kit, prepared with ONT ligation sequencing and barcoding, sequenced on ONT MinION using R10 flow cells. Reads were basecalled with Dorado v1.3.0 in super-accurate (sup) mode.	fastq			CSIRO2019_1_NSC45_5_10_q15_len300_sup.fastq.gz							
1_NSC50_5_10	CSIRO2019_1_NSC50_5_10	ONT long-read metagenome sequencing of soil metagenome: Boorowa NSW NSC50 core  5-10 cm (2019)	WGS	METAGENOMIC	RANDOM	single	OXFORD_NANOPORE	MinION	Shotgun metagenomic DNA library from agricultural soil cores. DNA extracted with DNeasy PowerSoil kit, prepared with ONT ligation sequencing and barcoding, sequenced on ONT MinION using R10 flow cells. Reads were basecalled with Dorado v1.3.0 in super-accurate (sup) mode.	fastq			CSIRO2019_1_NSC50_5_10_q15_len300_sup.fastq.gz							
1_NSC52_5_10	CSIRO2019_1_NSC52_5_10	ONT long-read metagenome sequencing of soil metagenome: Boorowa NSW NSC52 core  5-10 cm (2019)	WGS	METAGENOMIC	RANDOM	single	OXFORD_NANOPORE	MinION	Shotgun metagenomic DNA library from agricultural soil cores. DNA extracted with DNeasy PowerSoil kit, prepared with ONT ligation sequencing and barcoding, sequenced on ONT MinION using R10 flow cells. Reads were basecalled with Dorado v1.3.0 in super-accurate (sup) mode.	fastq			CSIRO2019_1_NSC52_5_10_q15_len300_sup.fastq.gz							
1_NSC53_5_10	CSIRO2019_1_NSC53_5_10	ONT long-read metagenome sequencing of soil metagenome: Boorowa NSW NSC53 core  5-10 cm (2019)	WGS	METAGENOMIC	RANDOM	single	OXFORD_NANOPORE	MinION	Shotgun metagenomic DNA library from agricultural soil cores. DNA extracted with DNeasy PowerSoil kit, prepared with ONT ligation sequencing and barcoding, sequenced on ONT MinION using R10 flow cells. Reads were basecalled with Dorado v1.3.0 in super-accurate (sup) mode.	fastq			CSIRO2019_1_NSC53_5_10_q15_len300_sup.fastq.gz							
1_NSC55_5_10	CSIRO2019_1_NSC55_5_10	ONT long-read metagenome sequencing of soil metagenome: Boorowa NSW NSC55 core  5-10 cm (2019)	WGS	METAGENOMIC	RANDOM	single	OXFORD_NANOPORE	MinION	Shotgun metagenomic DNA library from agricultural soil cores. DNA extracted with DNeasy PowerSoil kit, prepared with ONT ligation sequencing and barcoding, sequenced on ONT MinION using R10 flow cells. Reads were basecalled with Dorado v1.3.0 in super-accurate (sup) mode.	fastq			CSIRO2019_1_NSC55_5_10_q15_len300_sup.fastq.gz							
1_NSC59_5_10	CSIRO2019_1_NSC59_5_10	ONT long-read metagenome sequencing of soil metagenome: Boorowa NSW NSC59 core  5-10 cm (2019)	WGS	METAGENOMIC	RANDOM	single	OXFORD_NANOPORE	MinION	Shotgun metagenomic DNA library from agricultural soil cores. DNA extracted with DNeasy PowerSoil kit, prepared with ONT ligation sequencing and barcoding, sequenced on ONT MinION using R10 flow cells. Reads were basecalled with Dorado v1.3.0 in super-accurate (sup) mode.	fastq			CSIRO2019_1_NSC59_5_10_q15_len300_sup.fastq.gz							
1_NSC04_10_15	CSIRO2019_1_NSC04_10_15	ONT long-read metagenome sequencing of soil metagenome: Boorowa NSW NSC04 core  10-15 cm (2019)	WGS	METAGENOMIC	RANDOM	single	OXFORD_NANOPORE	MinION	Shotgun metagenomic DNA library from agricultural soil cores. DNA extracted with DNeasy PowerSoil kit, prepared with ONT ligation sequencing and barcoding, sequenced on ONT MinION using R10 flow cells. Reads were basecalled with Dorado v1.3.0 in super-accurate (sup) mode.	fastq			CSIRO2019_1_NSC04_10_15_q15_len300_sup.fastq.gz							
