core,sample_id,barcode,location_x,location_y,lat_lon,sampling,Upper_Depth,Lower_Depth,EC_dSm,pH_CaCl2,pH_water,TN,TC,MC,CEC_NH4Ac_cmol.kg,Ca_NH4Ac_cmol.kg,K_NH4Ac_cmol.kg,Mg_NH4Ac_cmol.kg,Na_NH4Ac_cmol.kg
18,1_NSC18_25_30,NA,148.685596,-34.473641,34.473641 S 148.685596 E,2019,25,30,0.04,6.2,7.3,<0.05,0.17,0.52,2.8,1.6,0.2,0.72,0.28
18,1_NSC18_40_45,NA,148.685596,-34.473641,34.473641 S 148.685596 E,2019,40,45,0.05,6.2,7.3,<0.05,0.15,0.94,6.54,3,0.28,2.8,0.46
19,1_NSC19_20_25,NA,148.6865485,-34.47333956,34.47333956 S 148.6865485 E,2019,20,25,0.02,4.5,5.5,<0.05,0.2,0.5,1.53,1,0.31,0.22,<0.02
19,1_NSC19_40_45,NA,148.6865485,-34.47333956,34.47333956 S 148.6865485 E,2019,40,45,0.03,5.2,6.1,<0.05,0.19,2.9,4.24,2.8,0.56,0.88,<0.02
19,1_NSC19_45_50,NA,148.6865485,-34.47333956,34.47333956 S 148.6865485 E,2019,45,50,0.03,5.4,6.2,<0.05,0.2,1.1,4.57,3,0.57,1,<0.02
20,1_NSC20_15_20,76,148.6840205,-34.4743212,34.4743212 S 148.6840205 E,2019,15,20,0.02,4.8,5.7,<0.05,0.23,0.82,2.45,1.8,0.29,0.36,<0.02
20,1_NSC20_25_30,NA,148.6840205,-34.4743212,34.4743212 S 148.6840205 E,2019,25,30,0.02,5.4,6.4,<0.05,0.22,1.9,3.48,2.3,0.37,0.81,<0.02
20,1_NSC20_35_40,NA,148.6840205,-34.4743212,34.4743212 S 148.6840205 E,2019,35,40,0.02,6,7,<0.05,0.18,2.1,5.72,3.5,0.62,1.6,<0.02
21,1_NSC21_5_10,43,148.6872984,-34.47327511,34.47327511 S 148.6872984 E,2019,5,10,0.07,5.5,6.2,0.06,0.6,0.45,3.21,2.6,0.3,0.31,<0.02
21,1_NSC21_10_15,62,148.6872984,-34.47327511,34.47327511 S 148.6872984 E,2019,10,15,0.05,6.3,7,0.05,0.42,0.41,3.605,3,0.26,0.31,0.035
21,1_NSC21_15_20,77,148.6872984,-34.47327511,34.47327511 S 148.6872984 E,2019,15,20,0.03,5.5,6.4,<0.05,0.21,0.4,2.267,1.7,0.22,0.31,0.037
21,1_NSC21_20_25,NA,148.6872984,-34.47327511,34.47327511 S 148.6872984 E,2019,20,25,0.03,5.3,6.4,<0.05,0.22,0.38,1.83,1.3,0.2,0.29,0.04
21,1_NSC21_35_40,NA,148.6872984,-34.47327511,34.47327511 S 148.6872984 E,2019,35,40,0.03,5.9,7.1,<0.05,0.2,0.75,5.68,3,0.29,2.1,0.29
22,1_NSC22_0_5,26,148.6852717,-34.47373589,34.47373589 S 148.6852717 E,2019,0,5,0.11,7,7.6,0.1,0.98,0.64,7.029,5.9,0.49,0.58,0.059
22,1_NSC22_25_30,NA,148.6852717,-34.47373589,34.47373589 S 148.6852717 E,2019,25,30,0.03,5.6,6.7,<0.05,0.28,0.83,4.82,2.7,0.33,1.6,0.19
22,1_NSC22_30_35,NA,148.6852717,-34.47373589,34.47373589 S 148.6852717 E,2019,30,35,0.04,6.1,7.3,<0.05,0.34,1.3,7.85,3.6,0.46,3.3,0.49
22,1_NSC22_45_50,NA,148.6852717,-34.47373589,34.47373589 S 148.6852717 E,2019,45,50,0.09,7.3,8.6,0.07,0.41,2.8,23.32,8,0.82,12,2.5
23,1_NSC23_5_10,44,148.6847989,-34.47404898,34.47404898 S 148.6847989 E,2019,5,10,0.02,5.6,6.5,0.07,0.65,0.84,6,4.3,0.5,1.2,<0.02
23,1_NSC23_40_45,NA,148.6847989,-34.47404898,34.47404898 S 148.6847989 E,2019,40,45,0.04,6.2,7,0.06,0.65,0.86,6.172,4.4,0.44,1.3,0.032
23,1_NSC23_45_50,NA,148.6847989,-34.47404898,34.47404898 S 148.6847989 E,2019,45,50,0.06,6.5,7.2,0.07,0.64,0.93,6.725,4.8,0.49,1.4,0.035
24,1_NSC24_0_5,27,148.6857982,-34.47392699,34.47392699 S 148.6857982 E,2019,0,5,0.1,5.7,6.4,0.12,1.14,0.62,5.574,4.5,0.57,0.47,0.034
24,1_NSC24_5_10,45,148.6857982,-34.47392699,34.47392699 S 148.6857982 E,2019,5,10,0.09,5.6,6.2,0.16,1.31,0.67,5.563,4.7,0.4,0.44,0.023
24,1_NSC24_30_35,NA,148.6857982,-34.47392699,34.47392699 S 148.6857982 E,2019,30,35,0.03,6.6,7.8,<0.05,0.32,2.1,4.68,2.5,0.48,1.5,0.2
25,1_NSC25_5_10,46,148.6863453,-34.4735227,34.4735227 S 148.6863453 E,2019,5,10,0.1,6.8,7.2,0.1,0.99,0.62,7.67,7.1,0.27,0.3,<0.02
25,1_NSC25_20_25,NA,148.6863453,-34.4735227,34.4735227 S 148.6863453 E,2019,20,25,0.01,4.6,5.5,0.05,0.4,0.56,2.464,1.8,0.28,0.36,0.024
25,1_NSC25_30_35,NA,148.6863453,-34.4735227,34.4735227 S 148.6863453 E,2019,30,35,0.02,5.2,6.6,<0.05,0.2,0.81,4.32,2.5,0.29,1.4,0.13
26,1_NSC26_5_10,47,148.6865893,-34.47320375,34.47320375 S 148.6865893 E,2019,5,10,0.06,6.5,7.1,0.08,0.72,0.58,4.87,4.2,0.35,0.32,<0.02
26,1_NSC26_20_25,NA,148.6865893,-34.47320375,34.47320375 S 148.6865893 E,2019,20,25,0.02,5.1,6.1,<0.05,0.26,0.58,2.562,1.9,0.29,0.35,0.022
26,1_NSC26_30_35,NA,148.6865893,-34.47320375,34.47320375 S 148.6865893 E,2019,30,35,0.02,5.4,6.4,<0.05,0.15,0.52,2.552,1.8,0.29,0.44,0.022
26,1_NSC26_35_40,NA,148.6865893,-34.47320375,34.47320375 S 148.6865893 E,2019,35,40,0.02,5.5,6.6,<0.05,0.2,0.54,3.321,2.3,0.35,0.64,0.031
27,1_NSC27_0_5,34,148.6861251,-34.47339951,34.47339951 S 148.6861251 E,2019,0,5,0.14,6.4,7,0.13,1.12,0.74,6.738,5.5,0.47,0.69,0.078
27,1_NSC27_30_35,NA,148.6861251,-34.47339951,34.47339951 S 148.6861251 E,2019,30,35,0.03,6.2,7.3,<0.05,0.2,0.58,4.54,3.1,0.18,1.1,0.16
27,1_NSC27_45_50,NA,148.6861251,-34.47339951,34.47339951 S 148.6861251 E,2019,45,50,0.05,6.4,7.6,0.06,0.51,2.5,21.34,10,0.63,9.8,0.91
28,1_NSC28_5_10,48,148.6838536,-34.47468417,34.47468417 S 148.6838536 E,2019,5,10,0.11,6.5,7.1,0.09,0.98,0.7,6.78,5.9,0.45,0.43,<0.02
28,1_NSC28_25_30,NA,148.6838536,-34.47468417,34.47468417 S 148.6838536 E,2019,25,30,0.01,5.1,6,<0.05,0.26,0.6,3.14,2.2,0.32,0.62,<0.02
28,1_NSC28_30_35,NA,148.6838536,-34.47468417,34.47468417 S 148.6838536 E,2019,30,35,0.02,5.4,6.4,<0.05,0.31,0.69,3.81,2.6,0.38,0.83,<0.02
29,1_NSC29_5_10,49,148.6840903,-34.47454565,34.47454565 S 148.6840903 E,2019,5,10,0.12,7.3,7.9,0.12,1.06,0.8,10.12,8.8,0.79,0.53,<0.02
29,1_NSC29_20_25,NA,148.6840903,-34.47454565,34.47454565 S 148.6840903 E,2019,20,25,0.03,5.4,6.4,0.05,0.33,0.62,3.43,2.5,0.39,0.54,<0.02
29,1_NSC29_45_50,NA,148.6840903,-34.47454565,34.47454565 S 148.6840903 E,2019,45,50,0.04,5.9,6.8,<0.05,0.23,1.1,6.65,4.4,0.65,1.6,<0.02
30,1_NSC30_0_5,24,148.6837694,-34.47428859,34.47428859 S 148.6837694 E,2019,0,5,0.08,6.7,7.4,0.08,0.73,0.9,5.98,5.2,0.41,0.37,<0.02
30,1_NSC30_15_20,78,148.6837694,-34.47428859,34.47428859 S 148.6837694 E,2019,15,20,0.03,5,6,<0.05,0.35,1.4,2.34,1.8,0.28,0.26,<0.02
30,1_NSC30_45_50,NA,148.6837694,-34.47428859,34.47428859 S 148.6837694 E,2019,45,50,0.03,5.7,6.6,<0.05,0.15,1.1,5.758,3.4,0.53,1.8,0.028
31,1_NSC31_20_25,NA,148.6861858,-34.47425527,34.47425527 S 148.6861858 E,2019,20,25,0.02,5.2,6.2,<0.05,0.17,0.37,2.17,1.6,0.26,0.31,<0.02
31,1_NSC31_25_30,NA,148.6861858,-34.47425527,34.47425527 S 148.6861858 E,2019,25,30,0.03,4.9,5.9,<0.05,0.28,0.57,3.66,2.7,0.4,0.56,<0.02
31,1_NSC31_30_35,NA,148.6861858,-34.47425527,34.47425527 S 148.6861858 E,2019,30,35,0.03,5,5.9,0.05,0.35,0.68,4.16,3,0.49,0.67,<0.02
31,1_NSC31_40_45,NA,148.6861858,-34.47425527,34.47425527 S 148.6861858 E,2019,40,45,0.03,5.1,6.1,<0.05,0.3,0.72,3.33,2.2,0.52,0.61,<0.02
32,1_NSC32_0_5,NA,148.6865563,-34.47372718,34.47372718 S 148.6865563 E,2019,0,5,0.13,6.5,7,0.08,0.68,0.6,4.93,4.4,0.34,0.19,<0.02
32,1_NSC32_35_40,NA,148.6865563,-34.47372718,34.47372718 S 148.6865563 E,2019,35,40,0.02,4.4,5.4,<0.05,0.15,0.5,1.52,1.1,0.24,0.18,<0.02
32,1_NSC32_40_45,NA,148.6865563,-34.47372718,34.47372718 S 148.6865563 E,2019,40,45,0.02,4.6,5.5,<0.05,0.22,0.51,2.25,1.6,0.35,0.3,<0.02
32,1_NSC32_45_50,NA,148.6865563,-34.47372718,34.47372718 S 148.6865563 E,2019,45,50,0.02,4.7,5.7,<0.05,0.21,0.65,2.69,1.9,0.39,0.4,<0.02
33,1_NSC33_0_5,19,148.6881122,-34.47313763,34.47313763 S 148.6881122 E,2019,0,5,0.07,7,7.8,0.14,1.19,0.62,6.9,5.9,0.67,0.33,<0.02
33,1_NSC33_5_10,50,148.6881122,-34.47313763,34.47313763 S 148.6881122 E,2019,5,10,0.05,6.7,7.4,0.1,0.91,0.55,5.48,4.6,0.55,0.33,<0.02
33,1_NSC33_40_45,NA,148.6881122,-34.47313763,34.47313763 S 148.6881122 E,2019,40,45,0.06,6.8,7.8,<0.05,0.3,1,7.04,3.9,1,1.9,0.24
34,1_NSC34_25_30,NA,148.6879359,-34.47357288,34.47357288 S 148.6879359 E,2019,25,30,0.03,5.1,6,<0.05,0.15,0.33,1.71,1.2,0.34,0.17,<0.02
34,1_NSC34_30_35,NA,148.6879359,-34.47357288,34.47357288 S 148.6879359 E,2019,30,35,0.03,5.2,6.2,<0.05,0.21,0.54,2.78,1.8,0.54,0.44,<0.02
34,1_NSC34_40_45,NA,148.6879359,-34.47357288,34.47357288 S 148.6879359 E,2019,40,45,0.05,5.5,6.4,0.06,0.29,1.1,7.5,4.4,1.5,1.6,<0.02
34,1_NSC34_45_50,NA,148.6879359,-34.47357288,34.47357288 S 148.6879359 E,2019,45,50,0.04,5.8,6.7,<0.05,0.27,1,7.2,4.1,1.5,1.6,<0.02
35,1_NSC35_15_20,79,148.6852149,-34.47470147,34.47470147 S 148.6852149 E,2019,15,20,0.03,4.7,5.6,<0.05,0.35,0.49,2.3,1.7,0.25,0.32,0.03
35,1_NSC35_25_30,NA,148.6852149,-34.47470147,34.47470147 S 148.6852149 E,2019,25,30,0.02,4.8,6,<0.05,0.32,3.067,1.8,0.36,0.82,0.087,
35,1_NSC35_40_45,NA,148.6852149,-34.47470147,34.47470147 S 148.6852149 E,2019,40,45,0.03,5.6,6.7,<0.05,0.33,7.41,3.9,0.7,2.6,0.21,
36,1_NSC36_0_5,22,148.6841128,-34.47512242,34.47512242 S 148.6841128 E,2019,0,5,0.03,6.9,7.6,0.11,1.09,0.79,7.91,6.8,0.61,0.5,<0.02
36,1_NSC36_10_15,63,148.6841128,-34.47512242,34.47512242 S 148.6841128 E,2019,10,15,0.04,5,5.9,0.09,0.57,1.3,3.55,2.9,0.33,0.32,<0.02
36,1_NSC36_40_45,NA,148.6841128,-34.47512242,34.47512242 S 148.6841128 E,2019,40,45,0.02,6,6.9,<0.05,0.27,3.9,6.574,4.3,0.53,1.7,0.044
37,1_NSC37_15_20,80,148.6857524,-34.47436043,34.47436043 S 148.6857524 E,2019,15,20,0.04,5.8,6.5,<0.05,0.32,0.38,3.35,2.7,0.4,0.25,<0.02
37,1_NSC37_30_35,NA,148.6857524,-34.47436043,34.47436043 S 148.6857524 E,2019,30,35,0.03,5,5.9,<0.05,0.37,0.69,3.9,2.6,0.59,0.71,<0.02
37,1_NSC37_35_40,NA,148.6857524,-34.47436043,34.47436043 S 148.6857524 E,2019,35,40,0.04,5.2,6,0.06,0.42,1.1,5.85,3.7,0.85,1.3,<0.02
38,1_NSC38_10_15,64,148.6856568,-34.47447897,34.47447897 S 148.6856568 E,2019,10,15,0.04,5.1,5.9,0.05,0.39,0.38,3.26,2.6,0.44,0.22,<0.02
38,1_NSC38_30_35,NA,148.6856568,-34.47447897,34.47447897 S 148.6856568 E,2019,30,35,0.04,4.6,5.6,0.06,0.31,0.68,4.36,2.9,0.8,0.66,<0.02
38,1_NSC38_45_50,NA,148.6856568,-34.47447897,34.47447897 S 148.6856568 E,2019,45,50,0.04,5.6,6.5,0.06,0.3,0.93,5.9,3.8,1.1,1,<0.02
39,1_NSC39_0_5,17,148.6865946,-34.47400617,34.47400617 S 148.6865946 E,2019,0,5,0.07,4.5,5.2,0.08,0.75,0.35,2.35,1.8,0.35,0.2,<0.02
39,1_NSC39_15_20,81,148.6865946,-34.47400617,34.47400617 S 148.6865946 E,2019,15,20,0.03,4.9,5.8,0.06,0.29,0.26,2.06,1.6,0.31,0.15,<0.02
39,1_NSC39_35_40,NA,148.6865946,-34.47400617,34.47400617 S 148.6865946 E,2019,35,40,0.02,4.9,6,<0.05,0.21,0.33,2.57,1.9,0.32,0.35,<0.02
40,1_NSC40_0_5,33,148.6871256,-34.47388162,34.47388162 S 148.6871256 E,2019,0,5,0.11,6.6,7.1,0.1,0.97,0.4,6,5.1,0.6,0.3,<0.02
40,1_NSC40_15_20,82,148.6871256,-34.47388162,34.47388162 S 148.6871256 E,2019,15,20,0.03,6,6.8,0.06,0.39,0.36,3.774,3,0.41,0.34,0.024
40,1_NSC40_25_30,NA,148.6871256,-34.47388162,34.47388162 S 148.6871256 E,2019,25,30,0.02,5.9,6.9,<0.05,0.22,0.39,4.35,3.3,0.43,0.62,<0.02
41,1_NSC41_0_5,18,148.6877746,-34.47313328,34.47313328 S 148.6877746 E,2019,0,5,0.13,5.1,5.7,0.09,0.89,0.88,3.96,3.1,0.56,0.3,<0.02
41,1_NSC41_15_20,83,148.6877746,-34.47313328,34.47313328 S 148.6877746 E,2019,15,20,0.03,5.5,6.3,0.05,0.39,1.3,3.053,2.4,0.4,0.23,0.023
41,1_NSC41_25_30,NA,148.6877746,-34.47313328,34.47313328 S 148.6877746 E,2019,25,30,0.03,5.2,6.2,0.05,0.21,0.36,2.45,1.7,0.37,0.38,<0.02
42,1_NSC42_0_5,NA,148.6878387,-34.47361029,34.47361029 S 148.6878387 E,2019,0,5,0.11,6.8,7.4,0.11,0.86,0.59,6.79,5.9,0.6,0.29,<0.02
42,1_NSC42_20_25,NA,148.6878387,-34.47361029,34.47361029 S 148.6878387 E,2019,20,25,0.03,5.6,6.5,<0.05,0.23,0.57,2.24,1.6,0.44,0.2,<0.02
42,1_NSC42_30_35,NA,148.6878387,-34.47361029,34.47361029 S 148.6878387 E,2019,30,35,0.02,5.7,6.7,<0.05,0.21,0.52,2.21,1.5,0.42,0.29,<0.02
42,1_NSC42_40_45,NA,148.6878387,-34.47361029,34.47361029 S 148.6878387 E,2019,40,45,0.04,6,6.9,0.07,0.34,0.85,7.2,4,1.2,2,<0.02
43,1_NSC43_0_5,30,148.6846028,-34.47458367,34.47458367 S 148.6846028 E,2019,0,5,0.11,7.2,7.8,0.12,1.08,0.64,9.29,8,0.73,0.56,<0.02
